0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.24375997,0.38589117,-0.227832,-0.19903564,0.0025269524,0.12181837,-0.020632612,0.04088834,-0.18230978,0.047687206,-0.13101096,-0.22579202,-0.012416177,0.05909994,0.034999263,0.008504166
0.057368904,-0.13876274,-0.061378207,-0.07557584,-0.0019114683,0.120953076,0.31130573,-0.36213648,0.032463837,0.072960675,-0.014345,-0.025525996,-0.029949062,0.024400327,0.008991949,0.058164146
0.00059997145,0.16932422,-0.043598667,0.15789054,-0.16061813,0.16569495,-0.11622326,-0.023496838,0.032062087,-0.28450122,0.015435551,0.24811238,-0.015305195,-0.004201296,0.07992701,0.0120262485
-0.08788108,0.14863662,-0.23814563,0.017186573,-0.16739577,-0.28824466,-0.048729386,-0.20245026,-0.15351047,0.124233715,0.17798005,0.22018194,0.16394481,0.038368776,0.0629683,-0.15447418
0.05326383,0.028690593,-0.1376038,0.05335791,-0.16757225,-0.129687,0.04301813,-0.10574627,0.082364686,0.18777181,-0.42851913,-0.0043614814,0.010576949,-0.0614502,0.08834785,-0.17940642
0.099263355,0.09468172,0.25503263,-0.21006522,0.0469228,0.013866648,-0.00010094061,-0.15376745,0.014186367,0.1861643,-0.038847677,0.12901856,0.08602596,0.27160716,0.16608638,-0.15197143
0.057654187,0.02852432,0.0052628964,0.15430744,-0.08901875,-0.39974952,-0.13605705,0.17269173,0.06164967,-0.11343911,0.010082974,0.10009672,-0.32132086,0.116277486,-0.23277324,-0.099834315
0.040205203,0.22949639,-0.08737012,0.022676036,0.120097466,-0.10721789,-0.06059089,-0.29823261,-0.12849799,0.052917752,0.13751876,-0.014755224,-0.0068351757,-0.20353381,-0.0013508347,0.14470667
-0.16623993,0.14424323,0.29723382,0.23858856,-0.06650581,0.15998544,-0.091468275,0.013933423,0.028599977,-0.17789084,0.41406497,0.04032315,-0.06917932,-0.15764202,-0.10429906,-0.14331615
-0.15632723,-0.22988668,-0.11666811,-0.08699033,-0.1250921,0.069383934,0.035096828,-0.17031734,-0.062042482,0.110157214,0.0908308,0.18056847,0.064005665,0.23157889,0.06426306,0.12146932
0.12658042,0.20383337,-0.24573147,0.12080438,0.11959175,0.024727482,-0.032314066,-0.18571156,-0.20601828,-0.06518623,-0.18948007,0.20488422,-0.34685066,-0.12919609,0.090429276,-0.11746138
-0.1251468,-0.080145836,0.27863142,-0.053443514,0.06480591,0.20515306,0.0060202037,0.06101343,0.031956807,-0.10186411,0.0607594,0.14089249,-0.21166253,0.20149915,-0.029017346,0.09082934
0.06329319,-0.3039825,-0.248645,0.21011943,-0.27146587,0.056837764,0.3381477,0.0574663,-0.19756605,0.19925831,-0.13521509,-0.10096827,-0.06527407,0.0133957425,0.022012953,-0.04178406
-0.09505052,-0.053943034,-0.029557968,-0.1103164,-0.047400437,0.009595112,-0.10083847,-0.1235243,-0.29414254,0.13246468,-0.11319126,0.23468827,-0.23526144,-0.19359489,-0.02019957,0.20845102
-0.2356791,-0.027257683,-0.20873421,-0.24031073,0.06619667,-0.14704703,-0.08543608,-0.17195077,-0.1039968,0.18041387,-0.0970405,0.044579614,-0.020243991,-0.026470136,-0.03307689,-0.17052817
0.0028794184,0.28062645,-0.083761625,0.05235922,0.020989005,-0.0927255,0.09071777,0.13215733,-0.048819143,-0.23798408,-0.031636737,0.004504267,-0.052255876,0.040467896,0.06391774,0.026051596
0.06871352,0.15946494,0.032261502,-0.15495475,0.074746035,0.06497191,0.27558106,0.17090406,-0.14837353,-0.061411906,0.018204048,0.016455146,-0.0012048158,-0.12024548,-0.07731284,0.102644876
-0.060038902,-0.027528863,-0.032579955,0.21049424,0.08576272,-0.14277685,0.16473877,-0.008225086,0.0012324004,-0.12730363,-0.070071496,0.106468745,-0.18236218,-0.062734745,-0.26751792,-0.16662979
-0.16763419,0.08785902,-0.13378921,-0.18169892,0.018358838,0.011533578,-0.06649374,0.063002385,0.2323659,-0.12336838,-0.05785575,-0.031272642,-0.0048293406,0.04898404,-0.19797507,0.08604831
-0.113736264,-0.034580335,0.14651549,-0.30199525,-0.16145073,-0.25265515,0.13563101,-0.05356783,-0.2415552,-0.15421957,0.0703062,0.2401171,0.14837234,0.14610448,0.2601726,0.16148414
-0.03316613,0.20046453,-0.099935524,0.09452717,0.16404,-0.08726512,-0.04164997,-0.018001793,0.020364419,-0.053056642,0.19575933,0.36303955,0.09436521,-0.1642108,-0.2865476,-0.09071538
0.00088012405,-0.03146452,-0.023782784,0.10263936,-0.050656386,0.08297369,-0.075038984,-0.20229024,0.080503345,-0.18268278,-0.19890629,0.04475253,-0.19795044,-0.10388021,-0.18527286,0.28874958
0.11790017,0.19824207,-0.07010161,0.17790996,-0.0538304,0.0046746186,0.1148768,-0.08732303,-0.117245525,0.08553613,-0.01215005,-0.27869645,0.091849476,-0.07683956,-0.22112313,-0.16577493
0.013544917,0.052645244,-0.0628409,0.025446994,0.016123326,-0.07388564,0.05759639,-0.009311966,-0.15632202,-0.20770752,0.09397381,0.0020447255,-0.012536401,-0.21449208,-0.0060952026,0.040930804
